名称,售价,成本价
麻黄,0.3,
桂枝,0.2,
甘草,0.4,
白术,0.6,
白术（野生）,0.8,
白芍,0.5,
葛根,0.25,
干姜,0.3,
木香 ,0.25,
枳实,0.3,
茯苓,0.4,
人参,0.7,
黄芪,0.3,
党参（10年）0.6,,
党参（20年）0.8,,
厚朴,0.15,
生地黄,0.2,
熟地黄,0.35,
巴戟天,0.42,
当归,0.6,
木通,0.28,
丹参,0.48,
柴胡,0.6,
黄芩,0.25,
白芷,0.2,
紫油桂,0.7,
川芎,0.5,
麦冬,0.7,
防风,0.8,
砂仁,0.5,
苍术（炒）,0.8,
杜仲,0.45,
菟丝子,0.36,
五指毛桃,0.35,
沙苑子,0.6,
知母,0.35,
半夏,0.8,
附子（生）,0.45,
附子（炒）,0.9,
木防己,0.8,
黄连,1,
薏苡仁,0.12,
玉竹,0.48,
牛膝,0.2,
皂荚,0.18,
竹叶,0.2,
苍耳子,0.25,
辛夷花,0.8,
石菖蒲,0.8,
伸筋草,0.2,
荆芥,0.18,
木瓜,0.18,
肉苁蓉,0.9,
石膏,0.12,
石斛,0.5,
