模版名称,药材
葛根汤,葛根 12.0g|麻黄 9.0g|桂枝 6.0g|生姜 9.0g|甘草 6.0g|白芍 6.0g|大枣 12.0g
桂枝汤,桂枝 9.0g|白芍 9.0g|甘草 6.0g|生姜 9.0g|大枣 12.0g
桂枝加葛根汤,葛根 12.0g|白芍 6.0g|生姜 9.0g|甘草 6.0g|大枣 12.0g|桂枝 6.0g
桂枝加附子汤,桂枝 9.0g|白芍 9.0g|甘草 9.0g|生姜 9.0g|大枣 12.0g|附子 9.0g
桂枝去芍药汤,桂枝 9.0g|甘草 6.0g|生姜 9.0g|大枣 12.0g
桂枝去芍药加附子汤,桂枝 9.0g|甘草 6.0g|生姜 9.0g|大枣 12.0g|附子 9.0g
桂枝麻黄各半汤,桂枝 5.0g|白芍 3.0g|生姜 3.0g|甘草 3.0g|麻黄 3.0g|大枣 4.0g|杏仁 9.6g
桂枝二麻黄一汤,桂枝 5.1g|白芍 3.8g|麻黄 2.0g|生姜 3.8g|杏仁 6.4g|甘草 3.2g|大枣 5.0g
白虎加人参汤,知母 18.0g|石膏 48.0g|甘草 6.0g|粳米 30.0g|人参 9.0g
桂枝二越婢一汤,桂枝 2.2g|白芍 2.2g|麻黄 2.2g|甘草 2.2g|大枣 4.0g|生姜 3.2g|石膏 3.0g
桂枝去桂加茯苓白术汤,白芍 9.0g|甘草 6.0g|生姜 9.0g|白术 9.0g|茯苓 9.0g|大枣 12.0g
甘草干姜汤,甘草 12.0g|干姜 6.0g
芍药甘草汤,白芍 12.0g|甘草 12.0g
调胃承气汤,大黄 12.0g|甘草 6.0g|芒硝 15.0g
四逆汤,甘草 6.0g|干姜 3.0g|附子 9.0g
葛根加半夏汤,葛根 12.0g|麻黄 9.0g|甘草 6.0g|白芍 6.0g|桂枝 6.0g|生姜 6.0g|半夏 24.0g|大枣 12.0g
葛根黄芩黄连汤,葛根 24.0g|甘草 6.0g|黄芩 9.0g|黄连 9.0g
麻黄汤,麻黄 9.0g|桂枝 6.0g|甘草 3.0g|杏仁 28.0g
小柴胡汤,柴胡 24.0g|黄芩 9.0g|人参 9.0g|甘草 9.0g|生姜 9.0g|大枣 12.0g|半夏 10.0g
大青龙汤,麻黄 18.0g|桂枝 6.0g|甘草 6.0g|杏仁 16.0g|生姜 9.0g|大枣 10.0g|石膏 30.0g
小青龙汤,麻黄 9.0g|白芍 9.0g|细辛 9.0g|干姜 9.0g|甘草 9.0g|桂枝 9.0g|五味子 10.0g|半夏 10.0g
桂枝加厚朴杏仁汤,桂枝 9.0g|甘草 6.0g|生姜 9.0g|白芍 9.0g|大枣 12.0g|厚朴 6.0g|杏仁 20.0g
干姜附子汤,干姜 3.0g|附子 9.0g
桂枝加芍药生姜各一两人参三两新加汤,桂枝 9.0g|白芍 12.0g|甘草 6.0g|人参 9.0g|大枣 12.0g|生姜 12.0g
麻黄杏仁甘草石膏汤,麻黄 12.0g|杏仁 20.0g|甘草 6.0g|石膏 24.0g
桂枝甘草汤,桂枝 12.0g|甘草 6.0g
茯苓桂枝甘草大枣汤,茯苓 24.0g|桂枝 12.0g|甘草 6.0g|大枣 15.0g
厚朴生姜甘草半夏人参汤,厚朴 24.0g|生姜 24.0g|半夏 24.0g|甘草 6.0g|人参 3.0g
茯苓桂枝白术甘草汤,茯苓 12.0g|桂枝 9.0g|白术 3.0g|甘草 6.0g
芍药甘草附子汤,白芍 9.0g|甘草 9.0g|附子 9.0g
